S(t),I(t),R(t),mortes(t),tempo
41.9363,22.5747,5.4890,0.1098,51.2
41.8416,22.6437,5.5147,0.1103,51.3
41.7469,22.7127,5.5404,0.1108,51.4
41.6520,22.7817,5.5662,0.1113,51.5
41.5572,22.8507,5.5921,0.1118,51.6
41.4622,22.9197,5.6181,0.1124,51.7
41.3672,22.9887,5.6441,0.1129,51.8
41.2721,23.0577,5.6702,0.1134,51.9
41.1769,23.1266,5.6964,0.1139,52.0
41.0817,23.1956,5.7227,0.1145,52.1
40.9864,23.2645,5.7491,0.1150,52.2
40.8910,23.3334,5.7755,0.1155,52.3
40.7956,23.4023,5.8020,0.1160,52.4
40.7001,23.4712,5.8286,0.1166,52.5
40.6046,23.5401,5.8553,0.1171,52.6
40.5090,23.6089,5.8821,0.1176,52.7
40.4134,23.6777,5.9089,0.1182,52.8
40.3177,23.7465,5.9358,0.1187,52.9
40.2220,23.8153,5.9628,0.1193,53.0
40.1262,23.8840,5.9898,0.1198,53.1
40.0303,23.9527,6.0170,0.1203,53.2
39.9345,24.0214,6.0442,0.1209,53.3
39.8385,24.0900,6.0715,0.1214,53.4
39.7426,24.1586,6.0989,0.1220,53.5
39.6465,24.2271,6.1263,0.1225,53.6
39.5505,24.2957,6.1539,0.1231,53.7
39.4544,24.3641,6.1815,0.1236,53.8
39.3583,24.4326,6.2091,0.1242,53.9
39.2621,24.5010,6.2369,0.1247,54.0
39.1659,24.5693,6.2648,0.1253,54.1
39.0697,24.6376,6.2927,0.1259,54.2
38.9734,24.7059,6.3207,0.1264,54.3
38.8771,24.7741,6.3487,0.1270,54.4
38.7808,24.8423,6.3769,0.1275,54.5
38.6845,24.9104,6.4051,0.1281,54.6
38.5881,24.9784,6.4334,0.1287,54.7
38.4917,25.0465,6.4618,0.1292,54.8
38.3953,25.1144,6.4903,0.1298,54.9
38.2989,25.1823,6.5188,0.1304,55.0
38.2025,25.2501,6.5474,0.1309,55.1
38.1060,25.3179,6.5761,0.1315,55.2
38.0095,25.3856,6.6049,0.1321,55.3
37.9130,25.4532,6.6338,0.1327,55.4
37.8165,25.5208,6.6627,0.1333,55.5
37.7200,25.5883,6.6917,0.1338,55.6
37.6235,25.6558,6.7208,0.1344,55.7
37.5270,25.7231,6.7499,0.1350,55.8
37.4304,25.7904,6.7791,0.1356,55.9
37.3339,25.8577,6.8084,0.1362,56.0
37.2374,25.9248,6.8378,0.1368,56.1
37.1408,25.9919,6.8673,0.1373,56.2
37.0443,26.0589,6.8968,0.1379,56.3
36.9478,26.1258,6.9264,0.1385,56.4
36.8512,26.1927,6.9561,0.1391,56.5
36.7547,26.2594,6.9859,0.1397,56.6
36.6582,26.3261,7.0157,0.1403,56.7
36.5617,26.3927,7.0456,0.1409,56.8
36.4652,26.4592,7.0756,0.1415,56.9
36.3687,26.5256,7.1057,0.1421,57.0
36.2722,26.5919,7.1358,0.1427,57.1
36.1758,26.6582,7.1661,0.1433,57.2
